DOI	PubMed_ID	Scopus_ID	Web_of_Science_ID	URL	Database	Document_Type_Final	Document_Type_Scopus	Document_Type_Web_of_Science	Document_Type_Other	Reference_Detail	CORE	Authors	Title 	Year	Publication_Date 	Early_Access_Date	Source_Title 	ISSN	ISBN	Volume	Issue	Page_Start	Page_End	Supplemental_Issue	Special_Issue	Meeting_Abstract	Notes	Reference_Type	Document_Citation	CARDIA_Document_Cited	Level_of_Influence	Scopus	WOS	PubMed	Embase	ASC	CINAHL	CHC	APA_PI	CK	Uptodate	NU	PQC	WC	AHRQ	PPH	CDC	HP2020	Healthgov	MedlinePlus	NAP	OA	Dataverse	Dryad	Figshare	Mendeley_Data	OSF	Vivili	Zenodo	DigitalHub
10.1016/j.bbi.2012.04.005	22554493	2-s2.0-84863876313	WOS:000306773100004			Article	Review	Article	Article	MS	CORE	"Cho, HJ; Bower, JE; Kiefe, CI; Seeman, TE; Irwin, MR"	Early life stress and inflammatory mechanisms of fatigue in the Coronary Artery Risk Development in Young Adults (CARDIA) study	2012	AUG		BRAIN BEHAVIOR AND IMMUNITY	0889-1591		26	6	859	865					ASC Journal Article				1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NA	NA	2-s2.0-0034477604	NA		Embase	Article	Review		Article	MS Cannot Find	CORE	Balestroni G.	Association of hostility with coronary artery calcification in young adults. The CARDIA Study [Associazione tra ostilitá e calcificazione delle arterie coronariche nei giovani]	2000			Italian Heart Journal Supplement	11294728		1	12	1646	1647				Journal not indexed in WOS	Embase Journal Article				1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1016/j.dib.2019.103720	31193752	2-s2.0-85063068368	WOS:000480320100045			Article	Data Paper	Article; Data Paper		AS	CORE	"Suarez-Lopez, JR; Gross, MD; Lee, DH"	Summary data of serum concentrations of 32 persistent organic pollutants in young adults in relation to summary scores of persistent organic pollutants	2019	APR		DATA IN BRIEF	2352-3409		23								WOS Article				1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	NA	2-s2.0-0141484358	WOS:000185155900012			Article	Conference Paper	Article; Proceedings Paper	Article; Conference Paper	MS (Abstract)	CORE	"Steffen, LM; Jacobs, DR"	Relation between dairy food intake and plasma lipid levels: the CARDIA Study	2003	AUG		AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY	0004-9433		58	2	92	97					WOS Article; Proceedings paper				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1097/SLA.0000000000002174	28187045	2-s2.0-85012154652	WOS:000434301200033			Article	Conference Paper	Article	Article	MS	CORE	"Locke, JE; Sawinski, D; Reed, RD; Shelton, B; MacLennan, PA; Kumar, V; Mehta, S; Mannon, RB; Gaston, R; Julian, BA; Carr, JJ; Terry, JG; Kilgore, M; Massie, AB; Segev, DL; Lewis, CE"	Apolipoprotein L1 and Chronic Kidney Disease Risk in Young Potential Living Kidney Donors	2018	JUN		ANNALS OF SURGERY	0003-4932		267	6	1161	1168					Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1097/AOG.0000000000001434	27159748	2-s2.0-84966309353	WOS:000376939500022			Article	Conference Paper	Article	Article	MS	CORE	"Catov, JM; Althouse, AD; Lewis, CE; Harville, EW; Gunderson, EP"	Preterm Delivery and Metabolic Syndrome in Women Followed From Prepregnancy Through 25 Years Later	2016	JUN		OBSTETRICS AND GYNECOLOGY	0029-7844		127	6	1127	1134					CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1001/archinte.157.17.1953	9308507	2-s2.0-0030884296	WOS:A1997XW98400005			Article	Article	Article; Proceedings Paper		MS	CORE	"Markovitz, JH; Smith, D; Raczynski, JM; Oberman, A; Williams, OD; Knox, S; Jacobs, DR"	"Lack of relations of hostility, negative affect, and high-risk behavior with low plasma lipid levels in the coronary artery risk development in young adults study"	1997	22-Sep		ARCHIVES OF INTERNAL MEDICINE	0003-9926		157	17	1953	1959				Has second possible DOI for Scopus: 10.1001/archinte.1997.00440380057005 	CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1016/j.ajog.2009.03.031	19560114	2-s2.0-67651122887	WOS:000268460900018			Article	Article	Article; Proceedings Paper		MS	CORE	"Gunderson, EP; Jacobs, DR; Chiang, V; Lewis, CE; Tsai, A; Quesenberry, CP; Sidney, S"	Childbearing is associated with higher incidence of the metabolic syndrome among women of reproductive age controlling for measurements before pregnancy: the CARDIA study	2009	AUG		AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY	0002-9378		201	2							CINAHL Journal Article				1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.2337/dc08-1971	19324945	2-s2.0-67650079477	WOS:000267878300032			Article	Article	Article; Proceedings Paper		MS	CORE	"Carnethon, MR; Sternfeld, B; Schreiner, PJ; Jacobs, DR; Lewis, CE; Liu, K; Sidney, S"	Association of 20-Year Changes in Cardiorespiratory Fitness With Incident Type 2 Diabetes The Coronary Artery Risk Development in Young Adults (CARDIA) fitness study	2009	JUL		DIABETES CARE	0149-5992		32	7	1284	1288					CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1001/archinternmed.2009.119	19506175	2-s2.0-67249096748	WOS:000266772500009			Article	Article	Article; Proceedings Paper		AS	CORE	"Knutson, KL; Van Cauter, E; Rathouz, PJ; Yan, LJL; Hulley, SB; Liu, K; Lauderdale, DS"	Association Between Sleep and Blood Pressure in Midlife The CARDIA Sleep Study	2009	8-Jun		ARCHIVES OF INTERNAL MEDICINE	0003-9926		169	11	1055	1061					ASC Journal Article				1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1016/j.drugalcdep.2006.10.017	17137732	2-s2.0-33947574057	WOS:000246069000014			Article	Article	Article; Proceedings Paper		MS	CORE	"Kertesz, SG; Pletcher, MJ; Safford, M; Halanych, J; Kirk, K; Schumacher, J; Sidney, S; Kiefe, CI"	Illicit drug use in young adults and subsequent decline in general health: The coronary artery risk development in young adults (CARDIA) study	2007	11-May		DRUG AND ALCOHOL DEPENDENCE	0376-8716		88	3-Feb	224	233					CINAHL Journal Article				1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1097/01.hjr.0000230108.86147.40	17446800	2-s2.0-34247548465	WOS:000245958000009			Article	Article	Article; Proceedings Paper		AS	CORE	"Iribarren, C; Husson, G; Sydow, K; Wang, BY; Sidney, S; Cooke, JP"	Asymmetric dimethyl-arginine and coronary artery calcification in young adults entering middle age: the CARDIA study	2007	APR		EUROPEAN JOURNAL OF CARDIOVASCULAR PREVENTION & REHABILITATION	1741-8267		14	2	222	229					Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
