Grant_Numbers,records,percent_of_total
R01-DK078124,1,0.134
R01-DK57508,1,0.134
R01-HL-43758,1,0.134
R01-HL078972,1,0.134
R01-HL095296-01,1,0.134
R01-HL131029,1,0.134
R01-HL131532,1,0.134
R01-HL134168,1,0.134
R01-HL143227,1,0.134
R01-MH56880-05,1,0.134
R01-NS41466,1,0.134
R01AG056111,1,0.134
R01CA109831,1,0.134
R01CA121152,1,0.134
R01DK116603,1,0.134
R01HL- 53560,1,0.134
R01HL053560,1,0.134
R01HL078972,1,0.134
R01HL126637,1,0.134
R01HL141288,1,0.134
R01HL142983,1,0.134
R01NS080850,1,0.134
R03-HL-135453,1,0.134
R03DK095877,1,0.134
R136EH000308-01,1,0.134
R21 HL079057,1,0.134
R21 HL085375,1,0.134
R21 HL121627-01,1,0.134
R21 HL121627-01A1,1,0.134
R21DK082937,1,0.134
R24HD-050924,1,0.134
R24HD0065688,1,0.134
R24HL076858,1,0.134
R25 CA100600,1,0.134
R25 CA100600-03,1,0.134
R25 CA100600-A1,1,0.134
R25 CA111898,1,0.134
R25GM083270,1,0.134
R25GM083270-S,1,0.134
R25T CA111898,1,0.134
R43 CA094612,1,0.134
R44 CA094612,1,0.134
RO1,1,0.134
RO1 HL086792-01,1,0.134
RO1 HL104580,1,0.134
RO1- HL53560,1,0.134
RO1-HL065611,1,0.134
RR00046,1,0.134
RR0086,1,0.134
RR00865,1,0.134
RWJF ID 51890,1,0.134
S10 OD023495,1,0.134
T 32 GM07281,1,0.134
T-32 HS 000078,1,0.134
T32 DK060414,1,0.134
T32 HD007168,1,0.134
T32 HL 069771,1,0.134
T32 HL007427,1,0.134
T32 HL007854,1,0.134
T32 HL007854-22,1,0.134
T32 HL076132-01,1,0.134
T32 HL07779,1,0.134
T32 HL097972,1,0.134
T32 HP12706,1,0.134
T32 HP19025,1,0.134
T32-HD007168,1,0.134
T32-HL-069771,1,0.134
T32DK007203,1,0.134
T32DK007732,1,0.134
T32HD055163,1,0.134
T32HL07779,1,0.134
TP-HL-1000,1,0.134
U01 AG027669,1,0.134
U01 HL66642,1,0.134
U01 HL66682,1,0.134
U01-5186989-01,1,0.134
U01DK102730,1,0.134
U01HL080295,1,0.134
U19 AG051426,1,0.134
U54CA1164849,1,0.134
UL1 TR000427,1,0.134
UL1 TR001422,1,0.134
UL1-RR-024156,1,0.134
UL1TR000124,1,0.134
UL1TR000165,1,0.134
UL1TR002489,1,0.134
US54MD008176,1,0.134
Y2-PC-0010-DC,1,0.134
YALTA: NIH 1RO1-HL53560,1,0.134
YALTA: NIH 1RO1-HL53560-01A1,1,0.134
Z99 AG999999,1,0.134
Z99 HL999999,1,0.134
